1,2,3,4,5,6,7,8,9,10,11
139,75,120,83,103,123,95,170,72,80,156
127,64,105,67,83,98,88,110,51,70,145
147,60,112,72,71,126,96,167,55,84,127
147,61,111,72,72,126,64,168,55,84,126
157,74,107,91,95,130,63,140,61,100,164
156,74,80,91,97,127,73,132,61,95,157
105,49,92,60,70,86,68,137,44,57,110
103,48,89,59,71,86,70,134,43,57,109
179,87,158,110,128,127,127,200,78,104,196
103,48,89,59,71,86,70,134,43,57,109
105,49,92,60,70,86,68,137,44,57,110
177,78,137,91,110,149,55,139,75,91,149
181,76,137,91,111,155,62,170,75,90,144
25.1226,13.5879,25.6333,17.8993,19.1919,22.2617,20.9968,35.0055,12.6351,16.2594,31.3609
25.1226,18,25.6333,55,27,22.2617,30,50,24,19,71
177,78,137,91,110,149,55,139,75,91,149
181,76,137,91,111,155,62,170,75,90,144
177,85,135,92,113,151,94,238,76,86,152
114,107,92,137,161,103,80,143,73,66,153
176,71,134,89,107,152,74,109,74,99,150
114,89,94,74,80,104,79,145,60,68,164
177,78,137,91,110,149,55,139,75,91,149
181,76,137,91,111,155,62,170,75,90,144
140,68,117,92,112,123,97,167,70,78,163
152,72,117,85,98,119,108,167,60,89,162
147,61,111,72,72,126,11,168,55,84,126
183,88,156,114,131,129,112,203,82,109,201
155,73,117,82,92,133,89,181,64,90,167
192,97,173,114,128,141,124,194,94,126,234
183,88,156,114,130,129,71,203,82,109,201
147,60,112,72,71,126,96,167,55,84,127
147,61,111,72,72,126,11,168,55,84,126
111,54,86,65,69,96,71,133,47,63,118
114,70,94,74,80,104,79,145,60,68,164
155,70,117,82,92,121,86,173,60,90,166
147,61,111,72,72,126,64,150,55,84,126
179,87,158,110,128,127,127,200,78,104,196
183,88,156,114,130,129,125,203,82,109,201
113,56,98,65,70,95,59,112,48,60,120
147,60,112,72,71,126,96,167,55,84,127
147,61,111,72,72,126,14,168,55,84,126
194,94,177,111,137,170,76,218,76,120,185
216,98,178,112,138,188,86,219,81,124,182
216,98,178,112,138,188,86,219,81,124,182
179,87,158,110,128,127,127,200,78,104,196
183,88,156,114,130,129,112,203,82,109,201
179,87,158,110,128,127,127,200,78,104,196
183,88,156,114,131,129,71,203,82,109,201
154,72,133,81,95,131,103,181,62,90,168
155,73,117,82,92,133,28,181,64,90,167
