B,G,H,K,L,M,Q,S,T,V,Y
6.09,38.53,3.46,5.06,0,0.31,0.31,0,149.3,2.19,1.52
9.35,86.12,5.43,30.58,3.38,0.56,1.4,0,4.78,7.82,4.62
7.82,23.5,10.64,35.36,6.08,0.38,0.76,0,63.95,8.75,2.21
9.03,57.29,5.87,22.29,2.96,1.28,0.28,0,94.37,3.23,4.47
8.04,39.69,6.67,14.67,3.35,0,2.07,0,117.97,4.57,2.78
7.23,35.79,8.3,7.54,0.31,0.77,0.75,0,88.46,2.37,4.83
15.93,38.85,15.39,18.73,2.11,1.71,0.92,0,48.82,3.8,2.42
8.72,10.18,5.55,3.98,0.32,0,0,0,82.77,0.3,0.79
7.97,55.19,14.36,12.89,3.9,0,3.52,0,33.98,3,7.23
4.61,5.99,3.65,2.78,0,0,0.42,0,58.68,0.93,4.27
1.34,41.24,2.46,9.56,0.32,0.27,15.92,0,42.68,2.88,5.96
2.21,36.06,1.12,8.77,2.58,1.32,17.84,1.46,104.29,6.43,8.6
0.59,29.85,4.25,3.52,1.34,7.94,34.9,0,104.65,3.77,4.2
0,20.24,1.97,4.58,0,1.25,14.62,0,86.97,0.28,2.13
3.51,43.61,2.64,11.54,0.93,5.34,24.4,0.25,73.74,4.15,6.53
0.74,50.15,3.62,16.52,1.87,2.78,19.5,0,34.13,8.59,2.12
5.75,16.29,0.3,2.47,2.37,12.55,5.7,0.01,118.64,0.3,2.77
1.37,63.33,5.91,25.03,4.97,9.23,8.39,0,42.37,13.93,5.21
4.91,66.17,1.88,42.6,19.1,6,10.98,0.01,38.01,13.52,5.86
0,5.08,0.87,2.23,1.43,5.04,0.86,0.21,70.99,0,4.57
0,52.39,3.95,8.36,2.16,7.94,5.16,0,88.06,2.63,2.66
3.07,60.99,6.48,22.44,5.23,9.6,10.04,0,26.01,5.77,2.2
5.42,30.62,13.44,39,10.1,24.19,15.26,0,1.61,30.89,11.3
1.27,2.5,1.39,2.65,3.44,8.8,2.62,0.01,99.43,2.62,3.41
3.2,63.33,9.46,30.75,2.17,18.43,2.78,0.97,128.81,4.9,9.56
1.35,27.23,0.86,2.16,1.14,5.68,0.01,1.13,101.12,0.97,5.55
6.63,61.33,2.62,13.41,2.69,6.05,0.98,0.52,103.19,3.08,6.28
1.81,55.17,9.43,4.65,14.02,9.85,1.83,0.34,95.11,2.47,10.34
1.09,68.76,4.52,12.6,2.48,7.1,0.31,0.92,147.03,1.99,4.51
3.64,96.75,5.67,29.58,0.5,11.46,3.33,0.32,87.62,17.85,13.21
2.42,9.11,3.11,1.36,0.67,4.66,0.65,2.18,82.74,0.87,5.18
3.48,35.59,5.11,3.08,1.44,12.6,0.25,1.14,120.32,3.41,11.08
4.22,107.81,8.28,26.79,11.62,6.92,6.8,1.55,70.78,11.21,11.23
2.9,40.2,1.09,3.42,10.37,1.41,1.26,0.22,69.57,16.58,1.42
1.74,11.45,0,2.63,2.11,0,0,0,26.64,6.76,4.37
1.1,47.17,1.82,42.46,8.21,2.22,2.66,0.26,52.61,30.61,2.22
0.83,13.55,0.32,10.57,5.62,0.29,0.29,0.29,40.04,17.97,2.37
1.58,62.82,0.33,12.18,7.69,1.47,1.22,1.32,74.66,19.88,2.79
2.48,36.42,1.48,23.84,3.97,3.79,5.32,1.16,60.63,15.36,2.65
0,20.47,9.45,22.01,0.94,0.28,8.22,0.28,92.6,5.53,2.89
0.43,22.37,9.66,7.37,2.4,1.5,7.46,0.02,65.9,2.46,1.4
0.61,22.9,18.47,11.16,2.26,0,12.51,0,69.26,3.97,2.32
1.03,56.59,7.94,35.59,2.86,3.33,9.06,0,52.28,18.06,1.89
0.69,19.76,7.08,2.99,2.11,0.6,4.28,0,64.38,1.9,2.11
0.32,13.62,7.59,9.23,0.25,0,5.67,0,72.24,2.5,6.57
3.72,57.4,7.47,13.31,2.2,0.19,6.95,0,47.4,10.67,6.26
0.31,6.66,7.99,5.81,0,0,3.44,0,34.62,0,2.34
1.1,41.78,1.06,39.57,2.73,0,4.38,0,4.52,3.61,0.75
5.04,27.91,6.83,56.94,32.86,13.1,9.8,0.22,2.58,52.68,7.04
0.34,76.87,1.18,54.94,1.5,0.96,5.4,0,26.49,11.68,1.18
3.23,9.76,23.17,34.27,36.64,7.1,21.5,2.69,5.13,18.93,6.75
0.58,122.98,1.96,45.08,2.42,0.92,8.03,0.35,30.37,17.42,1.2
4.06,64.77,8.7,24.14,11.77,3.85,25.27,0.99,29.28,5.95,4.99
12.04,126.25,2.91,68.66,11.56,0.72,21.07,1.35,40.73,12.53,6.21
6.68,12.45,6.06,38.74,42.13,0.56,7.26,2.1,0.64,54.08,3.97
2.12,43.97,6.6,51.07,13.7,2.54,7.88,0.69,23.09,7.85,2.96
5.89,62.96,11.49,21.45,37.28,4.16,40.39,3.46,16.15,20.47,5.56
1.01,60.08,3.97,49.06,10.04,0,11.3,0,29.48,18.81,1.53
3.55,36.28,2.18,65.81,3.26,1.73,7.53,0.34,8.24,27.49,0.2
1.8,15.69,1.16,11.49,0.99,1.75,1.21,0,13.87,3.45,1.69
9.92,39.17,7.77,38.91,33.67,8.12,36.47,1.18,40.59,18.07,2.36
1.37,42.85,1.44,22.67,0.53,0.95,4.65,0,11.42,2.37,0
2.54,12.15,5.01,29.11,44.96,3.05,22.58,4.41,9.93,44.5,8.49
1.84,11.32,1.15,7.86,9.66,0,1.68,0.67,89.87,2.51,0.63
2.2,55.81,1.28,40.69,19.9,0,8.52,1,4.11,11.91,3.09
