B,G,H,K,L,M,Q,S,T,V,Y
1.37,63.33,5.91,25.03,4.97,9.23,8.39,0,42.37,13.93,5.21
4.91,66.17,1.88,42.6,19.1,6,10.98,0.01,38.01,13.52,5.86
0,2.97,0.54,0.75,1.43,3.66,0.86,0.21,60.56,0,0
0,36.03,0.86,5.2,1.89,7.61,5.16,0,77.21,1.87,1.65
3.07,60.99,6.48,22.44,5.23,9.6,10.04,0,26.01,5.77,2.2
5.42,30.62,13.44,39,10.1,24.19,15.26,0,1.61,30.89,11.3
1.26,2.48,1.38,2.63,0.95,8.79,2.61,0,99.36,2.61,3.41
3.2,55.84,9,28.52,2.17,18.43,2.78,0.97,125.88,4.9,9.22
1.35,27.23,0.86,2.16,1.14,5.68,0.01,1.13,101.12,0.97,5.55
5.97,55.2,1.28,11.73,2.69,5.68,0.98,0.52,99.5,2.58,6.28
1.81,55.17,9.43,4.65,14.02,9.85,1.83,0.34,95.11,2.47,10.34
0.75,60.39,3.77,10.95,2.48,7.1,0,0.92,130.21,0.8,4.1
3.64,96.75,5.67,29.58,0.5,11.46,3.33,0.32,87.62,17.85,13.21
2.42,8.27,2.71,1.36,0.67,4.66,0.65,2.18,77.68,0.87,4.85
2.61,29.16,4.81,2.71,1.44,10.64,0.25,1.14,95.14,2.37,10.82
4.22,107.72,7.4,24.17,11.62,6.92,5.2,1.55,68.66,9.69,11.23
2.9,40.2,1.09,3.42,10.37,1.41,1.26,0.22,69.57,16.58,1.42
1.11,11.12,0,2.63,2.11,0,0,0,24.9,6.41,4.37
1.1,47.17,1.82,42.46,8.21,2.22,2.66,0.26,52.61,30.61,2.22
0.83,12.61,0.32,10.57,5.62,0.29,0.29,0.29,37.87,17.6,2.09
1.33,59.61,0.33,11.53,7.36,1.47,1.22,1.32,71.81,18.55,2.79
2.48,36.3,1.48,15.74,1.56,3.79,3.31,1.16,60.51,12.41,2.18
0,15.39,8.92,20,0.69,0.28,8.22,0.28,82.01,4.43,2.44
0.43,22.37,9.66,7.37,2.4,1.5,7.46,0.02,65.9,2.46,1.4
0.61,17.57,18.14,10.91,2.26,0,12.51,0,62.44,3.64,2.32
1.03,56.59,7.94,35.59,2.86,3.33,9.06,0,52.28,18.06,1.89
0,12.64,6.72,1.98,1.45,0,4.28,0,44.61,1.03,2.11
0.32,13.62,7.59,9.23,0.25,0,5.67,0,72.24,2.5,6.57
3.72,57.4,7.47,13.31,2.2,0.19,6.95,0,47.4,10.67,6.26
0.31,6.35,7.99,5.81,0,0,3.44,0,13.83,0,2.34
1.1,41.78,1.06,39.27,2.73,0,4.38,0,4.52,3.61,0.75
5.04,27.91,6.83,56.94,32.86,13.1,9.8,0.22,2.58,52.68,7.04
0.32,60.41,1.1,48.11,0.03,0.9,5.29,0,16.83,6.56,0.91
3.23,9.76,23.17,34.27,36.64,7.1,21.5,2.69,5.13,18.93,6.75
0.58,110.06,1.12,42.29,2.42,0.27,7.1,0.35,26.05,16.28,1.2
4.06,64.77,8.7,24.14,11.77,3.85,25.27,0.99,29.28,5.95,4.99
11.66,104.12,2.64,59.58,9.47,0.45,17.47,0.63,28.86,4.52,4.7
6.68,12.45,6.06,38.74,42.13,0.56,7.26,2.1,0.64,54.08,3.97
